,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close
958,2014-11-04,AAPL,,,,,108.6
957,2014-11-04,TSLA,,,,,238.93
959,2014-11-05,AAPL,,,,,108.86
960,2014-11-05,TSLA,,,,,230.97
962,2014-11-06,TSLA,,,,,241.22
961,2014-11-06,AAPL,,,,,108.7
964,2014-11-07,TSLA,,,,,240.2
963,2014-11-07,AAPL,,,,,109.01
965,2014-11-10,AAPL,,,,,108.83
966,2014-11-10,TSLA,,,,,241.93
968,2014-11-11,TSLA,,,,,251.08
967,2014-11-11,AAPL,,,,,109.7
970,2014-11-12,AAPL,,,,,111.25
969,2014-11-12,TSLA,,,,,249.1
971,2014-11-13,TSLA,,,,,251.7
972,2014-11-13,AAPL,,,,,112.82
973,2014-11-14,TSLA,,,,,258.68
974,2014-11-14,AAPL,,,,,114.18
975,2014-11-17,TSLA,,,,,253.98
976,2014-11-17,AAPL,,,,,113.99
977,2014-11-18,TSLA,,,,,257.7
978,2014-11-18,AAPL,,,,,115.47
979,2014-11-19,TSLA,,,,,247.74
980,2014-11-19,AAPL,,,,,114.67
981,2014-11-20,AAPL,,,,,116.31
982,2014-11-20,TSLA,,,,,248.71
983,2014-11-21,AAPL,,,,,116.47
984,2014-11-21,TSLA,,,,,242.78
985,2014-11-24,AAPL,,,,,118.63
986,2014-11-24,TSLA,,,,,246.72
987,2014-11-25,TSLA,,,,,248.09
988,2014-11-25,AAPL,,,,,117.6
989,2014-11-26,AAPL,,,,,119.0
990,2014-11-26,TSLA,,,,,248.44
991,2014-11-28,AAPL,,,,,118.93
992,2014-11-28,TSLA,,,,,244.52
993,2014-12-01,TSLA,,,,,231.64
994,2014-12-01,AAPL,,,,,115.07
996,2014-12-02,TSLA,,,,,231.43
995,2014-12-02,AAPL,,,,,114.63
997,2014-12-03,AAPL,,,,,115.93
998,2014-12-03,TSLA,,,,,229.3
1000,2014-12-04,TSLA,,,,,228.28
999,2014-12-04,AAPL,,,,,115.49
1002,2014-12-05,TSLA,,,,,223.71
1001,2014-12-05,AAPL,,,,,115.0
1003,2014-12-08,AAPL,,,,,112.4
1004,2014-12-08,TSLA,,,,,214.36
1005,2014-12-09,AAPL,,,,,114.12
1006,2014-12-09,TSLA,,,,,216.89
1007,2014-12-10,AAPL,,,,,111.95
1008,2014-12-10,TSLA,,,,,209.84
1009,2014-12-11,AAPL,,,,,111.62
1010,2014-12-11,TSLA,,,,,208.88
1011,2014-12-12,AAPL,,,,,109.73
1012,2014-12-12,TSLA,,,,,207.0
1014,2014-12-15,TSLA,,,,,204.04
1013,2014-12-15,AAPL,,,,,108.23
1015,2014-12-16,TSLA,,,,,197.81
1016,2014-12-16,AAPL,,,,,106.75
1017,2014-12-17,AAPL,,,,,109.41
1018,2014-12-17,TSLA,,,,,205.82
1019,2014-12-18,TSLA,,,,,218.26
1020,2014-12-18,AAPL,,,,,112.65
1021,2014-12-19,AAPL,,,,,111.78
1022,2014-12-19,TSLA,,,,,219.29
1023,2014-12-22,TSLA,,,,,222.6
1024,2014-12-22,AAPL,,,,,112.94
1026,2014-12-23,TSLA,,,,,220.97
1025,2014-12-23,AAPL,,,,,112.54
1028,2014-12-24,AAPL,,,,,112.01
1027,2014-12-24,TSLA,,,,,222.26
1029,2014-12-26,AAPL,,,,,113.99
1030,2014-12-26,TSLA,,,,,227.82
1031,2014-12-29,AAPL,,,,,113.91
1032,2014-12-29,TSLA,,,,,225.71
1034,2014-12-30,AAPL,,,,,112.52
1033,2014-12-30,TSLA,,,,,222.23
1036,2014-12-31,AAPL,,,,,110.38
1035,2014-12-31,TSLA,,,,,222.41
1037,2015-01-02,AAPL,,,,,109.33
1038,2015-01-02,TSLA,,,,,219.31
1039,2015-01-05,AAPL,,,,,106.25
1040,2015-01-05,TSLA,,,,,210.09
1041,2015-01-06,TSLA,,,,,211.28
1042,2015-01-06,AAPL,,,,,106.26
1043,2015-01-07,AAPL,,,,,107.75
1044,2015-01-07,TSLA,,,,,210.95
1045,2015-01-08,AAPL,,,,,111.89
1046,2015-01-08,TSLA,,,,,210.62
1047,2015-01-09,AAPL,,,,,112.01
1048,2015-01-09,TSLA,,,,,206.66
1050,2015-01-12,TSLA,,,,,202.21
1049,2015-01-12,AAPL,,,,,109.25
1052,2015-01-13,TSLA,,,,,204.25
1051,2015-01-13,AAPL,,,,,110.22
1054,2015-01-14,AAPL,,,,,109.8
1053,2015-01-14,TSLA,,,,,192.69
1055,2015-01-15,AAPL,,,,,106.82
1056,2015-01-15,TSLA,,,,,191.87
1057,2015-01-16,TSLA,,,,,193.07
1058,2015-01-16,AAPL,,,,,105.99
1059,2015-01-20,TSLA,,,,,191.93
1060,2015-01-20,AAPL,,,,,108.72
1061,2015-01-21,TSLA,,,,,196.57
1062,2015-01-21,AAPL,,,,,109.55
1064,2015-01-22,AAPL,,,,,112.4
1063,2015-01-22,TSLA,,,,,201.62
1065,2015-01-23,TSLA,,,,,201.29
1066,2015-01-23,AAPL,,,,,112.98
1068,2015-01-26,AAPL,,,,,113.1
1067,2015-01-26,TSLA,,,,,206.55
1070,2015-01-27,AAPL,,,,,109.14
1069,2015-01-27,TSLA,,,,,205.98
1072,2015-01-28,TSLA,,,,,199.37
1071,2015-01-28,AAPL,,,,,115.31
1073,2015-01-29,TSLA,,,,,205.2
1074,2015-01-29,AAPL,,,,,118.9
1075,2015-01-30,AAPL,,,,,117.16
1076,2015-01-30,TSLA,,,,,203.6
1077,2015-02-02,TSLA,,,,,210.94
1078,2015-02-02,AAPL,,,,,118.63
1079,2015-02-03,TSLA,,,,,218.36
1080,2015-02-03,AAPL,,,,,118.65
1082,2015-02-04,AAPL,,,,,119.56
1081,2015-02-04,TSLA,,,,,218.55
1083,2015-02-05,AAPL,,,,,119.94
1084,2015-02-05,TSLA,,,,,220.99
1085,2015-02-06,TSLA,,,,,217.36
1086,2015-02-06,AAPL,,,,,118.93
1087,2015-02-09,TSLA,,,,,217.48
1088,2015-02-09,AAPL,,,,,119.72
1089,2015-02-10,TSLA,,,,,216.29
1090,2015-02-10,AAPL,,,,,122.02
1091,2015-02-11,AAPL,,,,,124.88
1092,2015-02-11,TSLA,,,,,212.8
1094,2015-02-12,AAPL,,,,,126.46
